Time,Target,RPM,Power,D
3556,0,0,0,0
3576,0,0,0,0
3596,0,0,0,0
3616,0,0,0,0
3636,0,0,0,0
3656,0,0,0,0
3676,0,0,0,0
3696,0,0,0,0
3716,0,0,0,0
3736,0,0,0,0
3756,0,0,0,0
3776,0,0,0,0
3796,0,0,0,0
3816,0,0,0,0
3836,0,0,0,0
3856,0,0,0,0
3876,0,0,0,0
3896,0,0,0,0
3916,0,0,0,0
3936,0,0,0,0
3956,0,0,0,0
3976,0,0,0,0
3996,0,0,0,0
4016,0,0,0,0
4036,300,0,10.8,270
4056,300,0,11.6,27
4076,300,0,12.4,2.7
4096,300,0,13.2,0.27
4116,300,0,14,0.027
4136,300,0,14.8,0.0027
4156,300,0,15.6,0.00027
4176,300,0,16.4,0.000027
4196,300,0,17.2,0.000003
4216,300,0,18,0
4236,300,0,18.8,0
4256,300,0,19.6,0
4276,300,0,20.4,0
4296,300,0,21.2,0
4316,300,0,22,0
4336,300,0,22.8,0
4356,300,0,23.6,0
4376,300,0,24.4,0
4396,300,0,25.2,0
4416,300,0,26,0
4436,300,0,26.8,0
4456,300,0,27.6,0
4476,300,0,28.4,0
4496,300,0,29.2,0
4516,300,0,30,0
4536,300,0,30.8,0
4556,300,0,31.6,0
4576,300,0,32.4,0
4596,300,0,33.2,0
4616,300,0,33.3,0
4636,300,0,33.3,0
4656,300,0,33.3,0
4676,300,0,33.3,0
4696,300,0,33.3,0
4716,300,0,33.3,0
4736,300,0,33.3,0
4756,300,0,33.3,0
4776,300,0,33.3,0
4796,300,0,33.3,0
4816,300,0,33.3,0
4836,300,0,33.3,0
4856,300,0,33.3,0
4876,300,0,33.3,0
4896,300,0,33.3,0
4916,300,0,33.3,0
4936,300,0,33.3,0
4956,300,0,33.3,0
4976,300,0,33.3,0
4996,300,0,33.3,0
5016,300,0,33.3,0
5036,600,0,34.1,270
5056,600,0,34.9,27
5076,600,0,35.7,2.7
5096,600,0,36.5,0.27
5116,600,0,37.3,0.027
5136,600,0,38.1,0.0027
5156,600,0,38.9,0.00027
5176,600,0,39.7,0.000027
5196,600,0,40.5,0.000003
5216,600,0,41.3,0
5236,600,0,42.1,0
5256,600,0,42.9,0
5276,600,0,43.7,0
5296,600,0,44.5,0
5316,600,0,45.3,0
5336,600,0,46.1,0
5356,600,0,46.9,0
5376,600,0,47.7,0
5396,600,0,48.5,0
5416,600,0,49.3,0
5436,600,0,50.1,0
5456,600,0,50.9,0
5476,600,0,51.7,0
5496,600,0,52.5,0
5516,600,0,53.3,0
5536,600,0,54.1,0
5556,600,0,54.9,0
5576,600,0,55.7,0
5596,600,0,56.5,0
5616,600,0,57.3,0
5636,600,0,58.1,0
5656,600,0,58.9,0
5676,600,0,59.7,0
5696,600,0,60.5,0
5716,600,0,61.3,0
5736,600,0,62.1,0
5756,600,0,62.9,0
5776,600,0,63.7,0
5796,600,0,64.5,0
5816,600,0,65.3,0
5836,600,0,66.1,0
5856,600,0,66.6,0
5876,600,0,66.6,0
5896,600,0,66.6,0
5916,600,0,66.6,0
5936,600,0,66.6,0
5956,600,0,66.6,0
5976,900,0,67.4,270
5996,900,0,68.2,27
6016,900,0,69,2.7
6036,900,0,69.8,0.27
6056,900,0,70.6,0.027
6076,900,0,71.4,0.0027
6096,900,0,72.2,0.00027
6116,900,0,73,0.000027
6136,900,0,73.8,0.000003
6156,900,0,74.6,0
6176,900,0,75.4,0
6196,900,0,76.2,0
6216,900,0,77,0
6236,900,0,77.8,0
6256,900,0,78.6,0
6276,900,0,79.4,0
6296,900,0,80.2,0
6316,900,0,81,0
6336,900,0,81.8,0
6356,900,0,82.6,0
6376,900,0,83.4,0
6396,900,0,84.2,0
6416,900,0,85,0
6436,900,0,85.8,0
6456,900,0,86.6,0
6476,900,0,87.4,0
6496,900,0,88.2,0
6516,900,0,89,0
6536,900,0,89.8,0
6556,900,0,90.6,0
6576,900,0,91.4,0
6596,900,0,92.2,0
6616,900,0,93,0
6636,900,0,93.8,0
6656,900,0,94.6,0
6676,900,0,95.4,0
6696,900,0,96.2,0
6716,900,0,97,0
6736,900,0,97.8,0
6756,900,0,98.6,0
6776,900,0,99.4,0
6796,900,0,99.9,0
6816,900,0,99.9,0
6836,900,0,99.9,0
6856,900,0,99.9,0
6876,1200,0,100.7,270
6896,1200,0,101.5,27
6916,1200,0,102.3,2.7
6936,1200,0,103.1,0.27
6956,1200,0,103.9,0.027
6976,1200,0,104.7,0.0027
6996,1200,0,105.5,0.00027
7016,1200,0,106.3,0.000027
7036,1200,0,107.1,0.000003
7056,1200,0,107.9,0
7076,1200,0,108.7,0
7096,1200,0,109.5,0
7116,1200,0,110.3,0
7136,1200,0,111.1,0
7156,1200,0,111.9,0
7176,1200,0,112.7,0
7196,1200,0,113.5,0
7216,1200,0,114.3,0
7236,1200,0,115.1,0
7256,1200,0,115.9,0
7276,1200,0,116.7,0
7296,1200,0,117.5,0
7316,1200,0,118.3,0
7336,1200,0,119.1,0
7356,1200,0,119.9,0
7376,1200,0,120.7,0
7396,1200,0,121.5,0
7416,1200,0,122.3,0
7436,1200,0,123.1,0
7456,1200,0,123.9,0
7476,1200,0,124.7,0
7496,1200,0,125.5,0
7516,1200,0,126.3,0
7536,1200,0,127,0
7556,1200,0,127,0
7576,1200,0,127,0
7596,1200,0,127,0
7616,1200,0,127,0
7636,1200,0,127,0
7656,1200,0,127,0
7676,1200,0,127,0
7696,1200,0,127,0
7716,1200,0,127,0
7736,1500,0,127,270
7756,1500,0,127,27
7776,1500,0,127,2.7
7796,1500,0,127,0.27
7816,1500,0,127,0.027
7836,1500,0,127,0.0027
7856,1500,0,127,0.00027
7876,1500,0,127,0.000027
7896,1500,0,127,0.000003
7916,1500,0,127,0
7936,1500,0,127,0
7956,1500,0,127,0
7976,1500,0,127,0
7996,1500,0,127,0
8016,1500,0,127,0
8036,1500,0,127,0
8056,1500,0,127,0
8076,1500,0,127,0
8096,1500,0,127,0
8116,1500,0,127,0
8136,1500,0,127,0
8156,1500,0,127,0
8176,1500,0,127,0
8196,1500,0,127,0
8216,1500,0,127,0
8236,1500,0,127,0
8256,1500,0,127,0
8276,1500,0,127,0
8296,1500,0,127,0
8316,1500,0,127,0
8336,1500,0,127,0
8356,1500,0,127,0
8376,1500,0,127,0
8396,1500,0,127,0
8416,1500,0,127,0
8436,1500,0,127,0
8456,1500,0,127,0
8476,1500,0,127,0
8496,1500,0,127,0
8516,1500,0,127,0
8536,1800,0,127,270
8556,1800,0,127,27
8576,1800,0,127,2.7
8596,1800,0,127,0.27
8616,1800,0,127,0.027
8636,1800,0,127,0.0027
8656,1800,0,127,0.00027
8676,1800,0,127,0.000027
8696,1800,0,127,0.000003
8716,1800,0,127,0
8736,1800,0,127,0
8756,1800,0,127,0
8776,1800,0,127,0
8796,1800,0,127,0
8816,1800,0,127,0
8836,1800,0,127,0
8856,1800,0,127,0
8876,1800,0,127,0
8896,1800,0,127,0
8916,1800,0,127,0
8936,1800,0,127,0
8956,1800,0,127,0
8976,1800,0,127,0
8996,1800,0,127,0
9016,1800,0,127,0
9036,1800,0,127,0
9056,1800,0,127,0
9076,1800,0,127,0
9096,1800,0,127,0
9116,1800,0,127,0
9136,1800,0,127,0
9156,1800,0,127,0
9176,1800,0,127,0
9196,1800,0,127,0
9216,1800,0,127,0
9236,1800,0,127,0
9256,1800,0,127,0
9276,1800,0,127,0
9296,1800,0,127,0
9316,1800,0,127,0
9336,1800,0,127,0
9356,1800,0,127,0
9376,1800,0,127,0
9396,1800,0,127,0
9416,1800,0,127,0
9436,1800,0,127,0
9456,1800,0,127,0
9476,1800,0,127,0
9496,1800,0,127,0
9516,1800,0,127,0
9536,1800,0,127,0
9556,1800,0,127,0
9576,1800,0,127,0
9596,1800,0,127,0
9616,1800,0,127,0
9636,1800,0,127,0
9656,1800,0,127,0
9676,1800,0,127,0
9696,1800,0,127,0
9716,1800,0,127,0
9736,1800,0,127,0
9756,1800,0,127,0
9776,1800,0,127,0
9796,1800,0,127,0
9816,1800,0,127,0
9836,1800,0,127,0
9856,1800,0,127,0
9876,1800,0,127,0
9896,1800,0,127,0
9916,1800,0,127,0
9936,1800,0,127,0
9956,1800,0,127,0
9976,1800,0,127,0
9996,1800,0,127,0
10016,1800,0,127,0
10036,1800,0,127,0
10056,1800,0,127,0
10076,1800,0,127,0
10096,1800,0,127,0
10116,1800,0,127,0
10136,1800,0,127,0
10156,1800,0,127,0
10176,1800,0,127,0
10196,1800,0,127,0
10216,1800,0,127,0
10236,1800,0,127,0
10256,1800,0,127,0
10276,1800,0,127,0
10296,1800,0,127,0
10316,1800,0,127,0
10336,1800,0,127,0
10356,1800,0,127,0
10376,1800,0,127,0
10396,1800,0,127,0
10416,1800,0,127,0
10436,1800,0,127,0
10456,1800,0,127,0
10476,1800,0,127,0
10496,1800,0,127,0
10516,1800,0,127,0
10536,1800,0,127,0
10556,1800,0,127,0
10576,1800,0,127,0
10596,1800,0,127,0
10616,1800,0,127,0
10636,1800,0,127,0
10656,1800,0,127,0
10676,1800,0,127,0
